timestamp,group,category,attack_type,attack_level,attacked_image_name,attacked_image_path,return_code,extraction_rate_percent,ber,extracted_code
2026-05-19T23:20:26.590506,R,Crops,crop,Bottom_75,Croped_Bottom_75_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Bottom_75_watermarked_image_R_3.png,0,25.0,0.2708,"[0, 2, 2, 5, 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
2026-05-19T23:20:28.046042,R,Crops,crop,Left_25,Croped_Left_25_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Left_25_watermarked_image_R_3.png,0,75.0,0.0903,"['X', 2, 2, 5, 'X', 4, 3, 2, 'X', 0, 4, 5, 'X', 2, 6, 3]"
2026-05-19T23:20:29.490650,R,Crops,crop,Left_50,Croped_Left_50_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Left_50_watermarked_image_R_3.png,0,50.0,0.184,"['X', 'X', 2, 5, 'X', 'X', 3, 2, 'X', 'X', 4, 5, 'X', 'X', 6, 3]"
2026-05-19T23:20:30.888077,R,Crops,crop,Left_75,Croped_Left_75_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Left_75_watermarked_image_R_3.png,0,25.0,0.2708,"['X', 'X', 'X', 5, 'X', 'X', 'X', 2, 'X', 'X', 'X', 5, 'X', 'X', 'X', 3]"
2026-05-19T23:20:32.337031,R,Crops,crop,Right_25,Croped_Right_25_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Right_25_watermarked_image_R_3.png,0,75.0,0.0972,"[0, 2, 2, 'X', 6, 4, 3, 'X', 0, 0, 4, 'X', 1, 2, 6, 'X']"
2026-05-19T23:20:33.800348,R,Crops,crop,Right_50,Croped_Right_50_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Right_50_watermarked_image_R_3.png,0,50.0,0.184,"[0, 2, 'X', 'X', 6, 4, 'X', 'X', 0, 0, 'X', 'X', 1, 2, 'X', 'X']"
2026-05-19T23:20:35.229735,R,Crops,crop,Right_75,Croped_Right_75_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Right_75_watermarked_image_R_3.png,0,25.0,0.2778,"[0, 'X', 'X', 'X', 6, 'X', 'X', 'X', 0, 'X', 'X', 'X', 1, 'X', 'X', 'X']"
2026-05-19T23:20:36.683334,R,Crops,crop,Top_25,Croped_Top_25_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Top_25_watermarked_image_R_3.png,0,75.0,0.0972,"['X', 'X', 'X', 'X', 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:38.115502,R,Crops,crop,Top_50,Croped_Top_50_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Top_50_watermarked_image_R_3.png,0,50.0,0.184,"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:39.523987,R,Crops,crop,Top_75,Croped_Top_75_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Crops\Croped_Top_75_watermarked_image_R_3.png,0,25.0,0.2778,"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 1, 2, 6, 3]"
2026-05-19T23:20:41.023030,R,Filters,jpeg,50,Compressed_q50_watermarked_image_R_3.jpg,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\Compressed_q50_watermarked_image_R_3.jpg,0,12.5,0.3715,"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 5, 'X', 'X', 6, 'X']"
2026-05-19T23:20:42.520400,R,Filters,jpeg,70,Compressed_q70_watermarked_image_R_3.jpg,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\Compressed_q70_watermarked_image_R_3.jpg,0,50.0,0.1701,"['X', 'X', 2, 'X', 6, 4, 3, 'X', 0, 'X', 4, 5, 'X', 'X', 'X', 3]"
2026-05-19T23:20:44.052114,R,Filters,jpeg,90,Compressed_q90_watermarked_image_R_3.jpg,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\Compressed_q90_watermarked_image_R_3.jpg,0,100.0,0.0,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:45.562151,R,Filters,gaussian_blur,3,GB_k3_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\GB_k3_watermarked_image_R_3.png,0,12.5,0.3837,"['X', 'X', 2, 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 6, 'X']"
2026-05-19T23:20:47.066743,R,Filters,gaussian_blur,5,GB_k5_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\GB_k5_watermarked_image_R_3.png,0,12.5,0.4028,"['X', 'X', 2, 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 6, 'X']"
2026-05-19T23:20:48.625246,R,Filters,gaussian_blur,7,GB_k7_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\GB_k7_watermarked_image_R_3.png,0,12.5,0.3646,"[0, 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 6, 'X']"
2026-05-19T23:20:50.141939,R,Filters,gaussian_noise,0.05,GN_lvl0.05_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\GN_lvl0.05_watermarked_image_R_3.png,0,100.0,0.0,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:51.643324,R,Filters,gaussian_noise,0.1,GN_lvl0.1_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\GN_lvl0.1_watermarked_image_R_3.png,0,100.0,0.0,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:53.147850,R,Filters,gaussian_noise,0.2,GN_lvl0.2_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\GN_lvl0.2_watermarked_image_R_3.png,0,100.0,0.0,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:54.654247,R,Filters,gamma,,Gamma_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\Gamma_watermarked_image_R_3.png,0,81.25,0.0399,"[0, 2, 2, 5, 'X', 4, 'X', 'X', 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:56.174374,R,Filters,histogram_equalization,,HEQ_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\HEQ_watermarked_image_R_3.png,0,100.0,0.0,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:57.674128,R,Filters,motion_blur,3,MB_k3_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\MB_k3_watermarked_image_R_3.png,0,100.0,0.0,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:20:59.219213,R,Filters,motion_blur,5,MB_k5_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\MB_k5_watermarked_image_R_3.png,0,100.0,0.0,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:21:00.738694,R,Filters,motion_blur,7,MB_k7_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\MB_k7_watermarked_image_R_3.png,0,93.75,0.0087,"[0, 2, 2, 5, 6, 4, 'X', 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:21:02.246296,R,Filters,mean_filter,3,MEAN_k3_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\MEAN_k3_watermarked_image_R_3.png,0,100.0,0.0,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-19T23:21:03.759770,R,Filters,mean_filter,5,MEAN_k5_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\MEAN_k5_watermarked_image_R_3.png,0,37.5,0.151,"[0, 2, 2, 'X', 'X', 'X', 3, 'X', 'X', 'X', 4, 'X', 'X', 'X', 'X', 3]"
2026-05-19T23:21:05.276787,R,Filters,median_filter,3,MF_k3_watermarked_image_R_3.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\R\watermarked_image_R_3\Filters\MF_k3_watermarked_image_R_3.png,0,93.75,0.0035,"[0, 2, 2, 5, 'X', 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
