timestamp,group,category,attack_type,attack_level,attacked_image_name,attacked_image_path,return_code,extraction_rate_percent,ber,extracted_code
2026-05-20T20:12:01.804188,1024p,Crops,crop,BothHorizontal_25,Croped_BothHorizontal_25_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_BothHorizontal_25_watermarked_image_1024_1.png,0,87.5,0.0486,"[0, 'X', 2, 'X', 6, 4, 3, 2, 0, 0, 4, 5, 1, 2, 6, 3]"
2026-05-20T20:12:03.222404,1024p,Crops,crop,BothHorizontal_50,Croped_BothHorizontal_50_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_BothHorizontal_50_watermarked_image_1024_1.png,0,50.0,0.1875,"['X', 'X', 'X', 'X', 6, 4, 3, 2, 0, 0, 4, 5, 'X', 'X', 'X', 'X']"
2026-05-20T20:12:04.623187,1024p,Crops,crop,BothHorizontal_75,Croped_BothHorizontal_75_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_BothHorizontal_75_watermarked_image_1024_1.png,0,31.25,0.2604,"['X', 'X', 'X', 'X', 6, 4, 'X', 2, 0, 'X', 4, 'X', 'X', 'X', 'X', 'X']"
2026-05-20T20:12:06.081507,1024p,Crops,crop,BothVertical_25,Croped_BothVertical_25_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_BothVertical_25_watermarked_image_1024_1.png,0,56.25,0.1493,"['X', 2, 2, 5, 'X', 4, 3, 'X', 'X', 0, 4, 'X', 'X', 2, 6, 'X']"
2026-05-20T20:12:07.541413,1024p,Crops,crop,BothVertical_50,Croped_BothVertical_50_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_BothVertical_50_watermarked_image_1024_1.png,0,50.0,0.1875,"['X', 2, 2, 'X', 'X', 4, 3, 'X', 'X', 0, 4, 'X', 'X', 2, 6, 'X']"
2026-05-20T20:12:08.940554,1024p,Crops,crop,BothVertical_75,Croped_BothVertical_75_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_BothVertical_75_watermarked_image_1024_1.png,0,18.75,0.2865,"['X', 'X', 2, 'X', 'X', 'X', 'X', 'X', 'X', 0, 4, 'X', 'X', 'X', 'X', 'X']"
2026-05-20T20:12:10.387471,1024p,Crops,crop,Bottom_25,Croped_Bottom_25_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_Bottom_25_watermarked_image_1024_1.png,0,75.0,0.0903,"[0, 2, 2, 5, 6, 4, 3, 2, 0, 0, 4, 5, 'X', 'X', 'X', 'X']"
2026-05-20T20:12:11.822271,1024p,Crops,crop,Bottom_50,Croped_Bottom_50_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_Bottom_50_watermarked_image_1024_1.png,0,50.0,0.184,"[0, 2, 2, 5, 6, 4, 3, 2, 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
2026-05-20T20:12:13.266810,1024p,Crops,crop,Bottom_75,Croped_Bottom_75_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_Bottom_75_watermarked_image_1024_1.png,0,25.0,0.2708,"[0, 2, 2, 5, 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
2026-05-20T20:12:14.749107,1024p,Crops,crop,Left_25,Croped_Left_25_watermarked_image_1024_1.png,N:\Desktop\WORKING PAPERS\MVDW-NIKOS-PAPER\Version_22\attacked\1024p\watermarked_image_1024_1\Crops\Croped_Left_25_watermarked_image_1024_1.png,0,75.0,0.0903,"['X', 2, 2, 5, 'X', 4, 3, 2, 'X', 0, 4, 5, 'X', 2, 6, 3]"
